Date,Time,kW,Nantum,Billing Period,Season,kW Pricing,Facilities Demand Charge,Altimeter reading,DP Temp (F),DB Temp (F),Date Time,Year,Month,Billing Period Label,Day,Hour,
3/23/2022,12:00:00 AM,161.1, -   , Mar , Winter ,$0.60 ,$2.68 ,30.27,24.00,61,3/23/2022 0:00,2022,3, Mar ,23, -   ,0
3/23/2022,12:15:00 AM,162, -   , Mar , Winter ,$0.60 ,$2.68 ,30.27,24.00,61,3/23/2022 0:15,2022,3, Mar ,23, -   ,0
3/23/2022,12:30:00 AM,156.6, -   , Mar , Winter ,$0.60 ,$2.68 ,30.27,24.00,61,3/23/2022 0:30,2022,3, Mar ,23, -   ,0
3/23/2022,12:45:00 AM,161.552, -   , Mar , Winter ,$0.60 ,$2.68 ,30.27,24.00,61,3/23/2022 0:45,2022,3, Mar ,23, -   ,0
3/23/2022,1:00:00 AM,159.752, -   , Mar , Winter ,$0.60 ,$2.68 ,30.26,23.00,58,3/23/2022 1:00,2022,3, Mar ,23,1,0
3/23/2022,1:15:00 AM,159.752, -   , Mar , Winter ,$0.60 ,$2.68 ,30.26,23.00,58,3/23/2022 1:15,2022,3, Mar ,23,1,0
3/23/2022,1:30:00 AM,160.2, -   , Mar , Winter ,$0.60 ,$2.68 ,30.26,23.00,58,3/23/2022 1:30,2022,3, Mar ,23,1,0
3/23/2022,1:45:00 AM,157.5, -   , Mar , Winter ,$0.60 ,$2.68 ,30.26,23.00,58,3/23/2022 1:45,2022,3, Mar ,23,1,0
3/23/2022,2:00:00 AM,159.3, -   , Mar , Winter ,$0.60 ,$2.68 ,30.27,23.00,57,3/23/2022 2:00,2022,3, Mar ,23,2,0
3/23/2022,2:15:00 AM,156.6, -   , Mar , Winter ,$0.60 ,$2.68 ,30.27,23.00,57,3/23/2022 2:15,2022,3, Mar ,23,2,0
3/23/2022,2:30:00 AM,157.948, -   , Mar , Winter ,$0.60 ,$2.68 ,30.27,23.00,57,3/23/2022 2:30,2022,3, Mar ,23,2,0
3/23/2022,2:45:00 AM,166.948, -   , Mar , Winter ,$0.60 ,$2.68 ,30.27,23.00,57,3/23/2022 2:45,2022,3, Mar ,23,2,0
3/23/2022,3:00:00 AM,179.1, -   , Mar , Winter ,$0.60 ,$2.68 ,30.29,24.00,56,3/23/2022 3:00,2022,3, Mar ,23,3,0
3/23/2022,3:15:00 AM,181.8, -   , Mar , Winter ,$0.60 ,$2.68 ,30.29,24.00,56,3/23/2022 3:15,2022,3, Mar ,23,3,0
3/23/2022,3:30:00 AM,197.552, -   , Mar , Winter ,$0.60 ,$2.68 ,30.29,24.00,56,3/23/2022 3:30,2022,3, Mar ,23,3,0
3/23/2022,3:45:00 AM,236.7, -   , Mar , Winter ,$0.60 ,$2.68 ,30.29,24.00,56,3/23/2022 3:45,2022,3, Mar ,23,3,0
