dt,kw,nantum,hour,dow,alt,dp,db,cmd,heat_day,cool_day,db_24h,dp_24h,month,day,year,week,weekday
2021-07-12 00:00:00,309.151,-1.0,0.0,0.0,29.845,59.0,92.0,-1.0,0.0,0.3789583333333333,100.875,43.125,7,193,2021,28,1
2021-07-12 01:00:00,305.32500000000005,-1.0,1.0,0.0,29.81625,60.875,91.625,-1.0,0.0,0.3750520833333333,98.25,45.375,7,193,2021,28,1
2021-07-12 02:00:00,463.836,-1.0,2.0,0.0,29.81,61.375,91.0,-1.0,0.0,0.3685416666666666,97.0,45.625,7,193,2021,28,1
2021-07-12 03:00:00,521.549,-1.0,3.0,0.0,29.825,56.625,91.0,-1.0,0.0,0.3685416666666666,96.25,49.125,7,193,2021,28,1
2021-07-12 04:00:00,514.462,-1.0,4.0,0.0,29.8575,55.625,91.75,-1.0,0.0,0.37635416666666666,95.0,55.625,7,193,2021,28,1
2021-07-12 05:00:00,501.187,-1.0,5.0,0.0,29.8775,54.625,94.5,-1.0,0.0,0.40499999999999997,95.75,53.5,7,193,2021,28,1
2021-07-12 06:00:00,493.42400000000004,-1.0,6.0,0.0,29.89,54.75,97.75,-1.0,0.0,0.43885416666666666,98.125,52.125,7,193,2021,28,1
2021-07-12 07:00:00,486.0,-1.0,7.0,0.0,29.89,55.625,100.125,-1.0,0.0,0.46359375,100.75,54.0,7,193,2021,28,1
2021-07-12 08:00:00,487.35,-1.0,8.0,0.0,29.88625,53.125,103.125,-1.0,0.0,0.49484375,103.125,54.375,7,193,2021,28,1
2021-07-12 09:00:00,501.188,-1.0,9.0,0.0,29.87625,49.25,105.75,-1.0,0.0,0.5221875,105.375,55.0,7,193,2021,28,1
2021-07-12 10:00:00,505.34900000000005,-1.0,10.0,0.0,29.85875,47.625,107.75,-1.0,0.0,0.5430208333333333,106.75,54.25,7,193,2021,28,1
2021-07-12 11:00:00,500.738,-1.0,11.0,0.0,29.83625,48.125,109.0,-1.0,0.0,0.5560416666666667,108.75,52.625,7,193,2021,28,1
2021-07-12 12:00:00,511.19899999999996,-1.0,12.0,0.0,29.81875,50.0,110.125,-1.0,0.0,0.5677604166666667,110.75,52.0,7,193,2021,28,1
2021-07-12 13:00:00,512.999,-1.0,13.0,0.0,29.78875,51.125,112.0,-1.0,0.0,0.5872916666666667,112.0,51.625,7,193,2021,28,1
2021-07-12 14:00:00,504.9,-1.0,14.0,0.0,29.7625,52.625,111.625,-1.0,0.0,0.5833854166666667,112.375,49.875,7,193,2021,28,1
2021-07-12 15:00:00,503.212,-1.0,15.0,0.0,29.74625,52.375,111.0,-1.0,0.0,0.576875,113.0,48.0,7,193,2021,28,1
2021-07-12 16:00:00,473.063,-1.0,16.0,0.0,29.74,54.5,109.875,-1.0,0.0,0.56515625,112.25,48.75,7,193,2021,28,1
2021-07-12 17:00:00,150.526,-1.0,17.0,0.0,29.74,57.375,107.25,-1.0,0.0,0.5378125,109.875,49.625,7,193,2021,28,1
2021-07-12 18:00:00,136.012,-1.0,18.0,0.0,29.747500000000002,58.0,105.25,-1.0,0.0,0.5169791666666667,106.875,48.625,7,193,2021,28,1
2021-07-12 19:00:00,138.71300000000002,-1.0,19.0,0.0,29.77125,58.0,103.25,-1.0,0.0,0.4961458333333333,103.875,48.75,7,193,2021,28,1
2021-07-12 20:00:00,139.274,-1.0,20.0,0.0,29.81625,60.25,97.875,-1.0,0.0,0.44015624999999997,97.875,54.875,7,193,2021,28,1
2021-07-12 21:00:00,138.151,-1.0,21.0,0.0,29.88625,64.0,89.875,-1.0,0.0,0.3568229166666666,91.75,61.125,7,193,2021,28,1
2021-07-12 22:00:00,140.062,-1.0,22.0,0.0,29.94125,65.875,85.75,-1.0,0.0,0.3138541666666666,92.625,58.75,7,193,2021,28,1
2021-07-12 23:00:00,134.326,-1.0,23.0,0.0,29.94875,69.0,83.125,-1.0,0.0,0.2865104166666666,92.0,59.625,7,193,2021,28,1
2021-07-13 00:00:00,228.03699999999998,-1.0,0.0,1.0,29.91875,69.0,85.0,-1.0,0.0,0.3060416666666666,92.0,59.0,7,194,2021,28,1
2021-07-13 01:00:00,250.199,-1.0,1.0,1.0,29.90375,69.0,85.0,-1.0,0.0,0.3060416666666666,91.625,60.875,7,194,2021,28,1
2021-07-13 02:00:00,258.189,-1.0,2.0,1.0,29.90625,67.125,85.75,-1.0,0.0,0.31385416666666666,91.0,61.375,7,194,2021,28,1
2021-07-13 03:00:00,285.637,-1.0,3.0,1.0,29.9075,65.5,86.25,-1.0,0.0,0.31906249999999997,91.0,56.625,7,194,2021,28,1
2021-07-13 04:00:00,285.076,-1.0,4.0,1.0,29.935000000000002,67.625,85.75,-1.0,0.0,0.31385416666666666,91.75,55.625,7,194,2021,28,1
2021-07-13 05:00:00,309.824,-1.0,5.0,1.0,29.96375,66.625,87.375,-1.0,0.0,0.33078124999999997,94.5,54.625,7,194,2021,28,1
2021-07-13 06:00:00,585.6759999999999,-1.0,6.0,1.0,29.97375,64.875,89.5,-1.0,0.0,0.35291666666666666,97.75,54.75,7,194,2021,28,1
2021-07-13 07:00:00,576.674,-1.0,7.0,1.0,29.97625,62.25,92.375,-1.0,0.0,0.3828645833333333,100.125,55.625,7,194,2021,28,1
2021-07-13 08:00:00,552.038,-1.0,8.0,1.0,29.96625,60.625,94.125,-1.0,0.0,0.40109375,103.125,53.125,7,194,2021,28,1
2021-07-13 09:00:00,550.35,-1.0,9.0,1.0,29.94875,59.625,96.75,-1.0,0.0,0.42843749999999997,105.75,49.25,7,194,2021,28,1
2021-07-13 10:00:00,537.9739999999999,-1.0,10.0,1.0,29.91875,58.625,99.875,-1.0,0.0,0.4609895833333333,107.75,47.625,7,194,2021,28,1
2021-07-13 11:00:00,513.451,-1.0,11.0,1.0,29.88875,58.0,103.375,-1.0,0.0,0.49744791666666666,109.0,48.125,7,194,2021,28,1
2021-07-13 12:00:00,505.687,-1.0,12.0,1.0,29.85875,57.625,105.125,-1.0,0.0,0.5156770833333333,110.125,50.0,7,194,2021,28,1
2021-07-13 13:00:00,508.274,-1.0,13.0,1.0,29.82125,57.0,107.375,-1.0,0.0,0.5391145833333333,112.0,51.125,7,194,2021,28,1
2021-07-13 14:00:00,506.812,-1.0,14.0,1.0,29.7825,54.75,108.375,-1.0,0.0,0.54953125,111.625,52.625,7,194,2021,28,1
2021-07-13 15:00:00,501.975,-1.0,15.0,1.0,29.76625,51.0,108.625,-1.0,0.0,0.5521354166666667,111.0,52.375,7,194,2021,28,1
2021-07-13 16:00:00,504.562,-1.0,16.0,1.0,29.76375,50.625,107.625,-1.0,0.0,0.54171875,109.875,54.5,7,194,2021,28,1
2021-07-13 17:00:00,144.337,-1.0,17.0,1.0,29.7775,50.75,106.25,-1.0,0.0,0.5273958333333333,107.25,57.375,7,194,2021,28,1
2021-07-13 18:00:00,119.588,-1.0,18.0,1.0,29.80125,53.125,103.875,-1.0,0.0,0.50265625,105.25,58.0,7,194,2021,28,1
2021-07-13 19:00:00,122.962,-1.0,19.0,1.0,29.8575,57.625,96.75,-1.0,0.0,0.42843749999999997,103.25,58.0,7,194,2021,28,1
2021-07-13 20:00:00,121.501,-1.0,20.0,1.0,29.935000000000002,62.0,86.875,-1.0,0.0,0.3255729166666666,97.875,60.25,7,194,2021,28,1
2021-07-13 21:00:00,123.751,-1.0,21.0,1.0,29.97125,62.375,84.25,-1.0,0.0,0.29822916666666666,89.875,64.0,7,194,2021,28,1
2021-07-13 22:00:00,118.463,-1.0,22.0,1.0,29.98625,62.625,83.375,-1.0,0.0,0.2891145833333333,85.75,65.875,7,194,2021,28,1
2021-07-13 23:00:00,118.687,-1.0,23.0,1.0,29.98,62.0,84.0,-1.0,0.0,0.295625,83.125,69.0,7,194,2021,28,1
2021-07-14 00:00:00,226.912,-1.0,0.0,2.0,29.9725,61.625,84.0,-1.0,0.0,0.295625,85.0,69.0,7,195,2021,28,1
2021-07-14 01:00:00,256.83799999999997,-1.0,1.0,2.0,29.9525,61.375,84.0,-1.0,0.0,0.295625,85.0,69.0,7,195,2021,28,1
2021-07-14 02:00:00,262.238,-1.0,2.0,2.0,29.93625,62.0,84.0,-1.0,0.0,0.295625,85.75,67.125,7,195,2021,28,1
2021-07-14 03:00:00,509.73699999999997,-1.0,3.0,2.0,29.9375,62.0,83.625,-1.0,0.0,0.29171874999999997,86.25,65.5,7,195,2021,28,1
2021-07-14 04:00:00,539.437,-1.0,4.0,2.0,29.95375,62.0,83.375,-1.0,0.0,0.2891145833333333,85.75,67.625,7,195,2021,28,1
2021-07-14 05:00:00,489.59900000000005,-1.0,5.0,2.0,29.9675,62.0,84.375,-1.0,0.0,0.29953124999999997,87.375,66.625,7,195,2021,28,1
2021-07-14 06:00:00,465.863,-1.0,6.0,2.0,29.98375,62.0,85.75,-1.0,0.0,0.31385416666666666,89.5,64.875,7,195,2021,28,1
2021-07-14 07:00:00,464.624,-1.0,7.0,2.0,29.97875,62.0,87.75,-1.0,0.0,0.33468749999999997,92.375,62.25,7,195,2021,28,1
2021-07-14 08:00:00,462.712,-1.0,8.0,2.0,29.96375,62.0,90.5,-1.0,0.0,0.3633333333333333,94.125,60.625,7,195,2021,28,1
2021-07-14 09:00:00,483.299,-1.0,9.0,2.0,29.96625,61.625,94.5,-1.0,0.0,0.40499999999999997,96.75,59.625,7,195,2021,28,1
